,id,header,offeredSince,availabilty,status,statusNew,price,postCode1,postCode2,neighbourhood,areaM2,rooms,interior,energy,agent,link,scrapDate
24,8e752227,Apartment Nicolaas Maesstraat 65 3,"
2 weeks
","
In consultation
",Rented under option,"
Rented under option
",2500.0,1071,PR,Museumkwartier,62,3,NA,A,Recourt Makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/8e752227/nicolaas-maesstraat,2022-10-25 22:18:52
25,3a339818,Apartment Baarsjesweg 250 3,"
2 weeks
","
From 01-11-2022
",NA,"
For rent
",2000.0,1058,AB,Westindische Buurt,90,2,Furnished,Not Available,Expat Rental Scout,https://www.pararius.com/apartment-for-rent/amsterdam/3a339818/baarsjesweg,2022-10-25 22:18:52
26,9480dc5f,House Balearenlaan 82,"
2 weeks
","
From 01-11-2022
",NA,"
For rent
",2500.0,1060,TM,Middelveldsche Akerpolder,210,7,Furnished,Not Available,EHR Amsterdam,https://www.pararius.com/house-for-rent/amsterdam/9480dc5f/balearenlaan,2022-10-25 22:18:52
27,21cc26fb,Apartment Koningin Wilhelminaplein,"
2 weeks
","
Immediately
",NA,"
For rent
",2100.0,1062,KS,Westlandgracht,80,3,NA,A+,Wooove B.V.,https://www.pararius.com/apartment-for-rent/amsterdam/21cc26fb/koningin-wilhelminaplein,2022-10-25 22:18:52
28,4ea35568,Apartment Hagedoornplein 20,"
2 weeks
","
In consultation
",NA,"
For rent
",4000.0,1031,BV,Volewijck,141,5,Upholstered,Not Available,DSTRCT Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/4ea35568/hagedoornplein,2022-10-25 22:18:52
29,f125bb67,Apartment Kalkmarkt,"
2 weeks
","
Immediately
",NA,"
For rent
",2650.0,1011,BC,Nieuwmarkt/Lastage,125,5,Furnished,Not Available,HouseHunting Randstad,https://www.pararius.com/apartment-for-rent/amsterdam/f125bb67/kalkmarkt,2022-10-25 22:18:52
30,807079c9,Apartment Kalkmarkt,"
2 weeks
","
Immediately
",NA,"
For rent
",2250.0,1011,BC,Nieuwmarkt/Lastage,95,3,Furnished,Not Available,HouseHunting Randstad,https://www.pararius.com/apartment-for-rent/amsterdam/807079c9/kalkmarkt,2022-10-25 22:18:52
31,3cd99910,Apartment Willem Frederik Hermansstraat,"
3 weeks
","
From 01-11-2022
",NA,"
For rent
",5000.0,1011,DG,Nieuwmarkt/Lastage,170,5,Furnished,A,Roomservice Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/3cd99910/willem-frederik-hermansstraat,2022-10-25 22:18:52
2,80915ca7,Apartment Kleiburg 518,"
3 weeks
","
From 01-11-2022
",NA,"
For rent
",1550.0,1104,EA,Bijlmer Oost ,75,3,Upholstered,C,HousingNet,https://www.pararius.com/apartment-for-rent/amsterdam/80915ca7/kleiburg,2022-10-25 22:18:52
3,5a37ae43,Apartment Ponserstraat 26,"
3 weeks
","
Immediately
",NA,"
For rent
",1750.0,1033,DL,Tuindorp Oostzaan,60,2,Furnished,C,Oei Housing Amsterdam - Expat Apartments,https://www.pararius.com/apartment-for-rent/amsterdam/5a37ae43/ponserstraat,2022-10-25 22:18:52
4,25d905a8,Apartment Willem Frederik Hermansstraat,"
3 weeks
","
From 01-11-2022
",NA,"
For rent
",2150.0,1011,DG,Nieuwmarkt/Lastage,68,2,Furnished,A,Roomservice Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/25d905a8/willem-frederik-hermansstraat,2022-10-25 22:18:52
5,7f31dbd7,Apartment Ridderspoorweg,"
3 weeks
","
In consultation
",NA,"
For rent
",3250.0,1032,LL,Noordelijke IJ-oevers West,98,3,Furnished,A+,Brinkman Fine Real Estate,https://www.pararius.com/apartment-for-rent/amsterdam/7f31dbd7/ridderspoorweg,2022-10-25 22:18:52
