,id,header,offeredSince,availabilty,status,statusNew,price,postCode1,postCode2,neighbourhood,areaM2,rooms,interior,agent,link,scrapDate
16,51974e2e,Apartment Van Baerlestraat 36 1,"
3 weeks
","
From 01-11-2022
",Under offer,"
Under offer
",2250.0,1071,AX,Museumkwartier,60,2,Upholstered,Parker & Williams Real Estate Services,https://www.pararius.com/apartment-for-rent/amsterdam/51974e2e/van-baerlestraat,2022-10-19 20:33:16
17,3bc349a5,Apartment KNSM-laan 465,"
4 weeks
","
Immediately
",Under offer,"
Under offer
",1850.0,1019,LG,Oostelijk Havengebied,86,3,NA,Aemestelle Makelaars Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/3bc349a5/knsm-laan,2022-10-19 20:33:16
18,8f8d7ca8,Apartment Herengracht 132 E,"
4 weeks
","
Immediately
",Under offer,"
Under offer
",7500.0,1015,BV,Grachtengordel-West,162,3,Upholstered,AmsterHomes,https://www.pararius.com/apartment-for-rent/amsterdam/8f8d7ca8/herengracht,2022-10-19 20:33:16
19,20cb01a2,Apartment Amstelveenseweg,"
4 weeks
","
Immediately
",Under option,"
Under option
",2500.0,1075,XR,Schinkelbuurt,92,4,Furnished,Clairesrealestate,https://www.pararius.com/apartment-for-rent/amsterdam/20cb01a2/amstelveenseweg,2022-10-19 20:33:16
20,0ca77b50,Apartment Korte Koningsstraat 14 bgg,"
4 weeks
","
Immediately
",Under option,"
Under option
",2100.0,1011,GA,Nieuwmarkt/Lastage,120,2,Furnished,Amsterdam Housing,https://www.pararius.com/apartment-for-rent/amsterdam/0ca77b50/korte-koningsstraat,2022-10-19 20:33:16
21,2faf528f,Apartment Van Ollefenstraat,"
4 weeks
","
Immediately
",Under option,"
Under option
",1350.0,1065,LK,Slotervaart Zuid,69,3,NA,NEWCURB Makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/2faf528f/van-ollefenstraat,2022-10-19 20:33:16
22,aa6aeea5,Apartment Okeghemstraat 35,"
4 weeks
","
In consultation
",Under offer,"
Under offer
",3950.0,1075,PL,Willemspark,120,4,NA,DSTRCT Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/aa6aeea5/okeghemstraat,2022-10-19 20:33:16
23,bb993bcb,Apartment Silodam,"
4 weeks
","
From 01-11-2022
",Under offer,"
Under offer
",2950.0,1013,AW,Houthavens,135,5,Furnished,Huisportaal.nl,https://www.pararius.com/apartment-for-rent/amsterdam/bb993bcb/silodam,2022-10-19 20:33:16
24,88dc47a2,Apartment Oudezijds Achterburgwal,"
4 weeks
","
In consultation
",Under option,"
Under option
",2150.0,1012,DG,Burgwallen-Oude Zijde,99,3,Upholstered,Sweers & Boys,https://www.pararius.com/apartment-for-rent/amsterdam/88dc47a2/oudezijds-achterburgwal,2022-10-19 20:33:16
25,0a5f46af,Studio Haparandaweg,"
4 weeks
","
Immediately
",Under option,"
Under option
",2000.0,1013,BD,Houthavens,43,2,Furnished,Amsterdam Rentals,https://www.pararius.com/studio-for-rent/amsterdam/0a5f46af/haparandaweg,2022-10-19 20:33:16
26,b0a02d1f,Apartment Westerdoksdijk 327,"
4 weeks
","
From 01-11-2022
",Under offer,"
Under offer
",2650.0,1013,AD,Haarlemmerbuurt,85,3,Furnished,Parker & Williams Real Estate Services,https://www.pararius.com/apartment-for-rent/amsterdam/b0a02d1f/westerdoksdijk,2022-10-19 20:33:16
27,46d56ed8,House Nieuwe Keizersgracht 14 G,"
4 weeks
","
Immediately
",Under offer,"
Under offer
",2450.0,1018,DR,Weesperbuurt/Plantage,50,2,Upholstered or furnished,Amsterdam Housing,https://www.pararius.com/house-for-rent/amsterdam/46d56ed8/nieuwe-keizersgracht,2022-10-19 20:33:16
28,b27385b3,Apartment Jozef Israëlskade,"
4 weeks
","
Immediately
",Under option,"
Under option
",1850.0,1073,RC,Zuid Pijp,47,2,Furnished,Amsterdam Rentals,https://www.pararius.com/apartment-for-rent/amsterdam/b27385b3/jozef-israelskade,2022-10-19 20:33:16
29,9b41fb17,Apartment Chestertonlaan,"
4 weeks
","
From 01-11-2022
",Under option,"
Under option
",1400.0,1102,XT,Bijlmer Centrum ,65,2,Upholstered,LV Housing,https://www.pararius.com/apartment-for-rent/amsterdam/9b41fb17/chestertonlaan,2022-10-19 20:33:16
0,feabc0e0,Apartment Marcusstraat 117,"
4 weeks
","
Immediately
",Under offer,"
Under offer
",2750.0,1091,TJ,Weesperzijde,117,4,Furnished,JLG Real Estate,https://www.pararius.com/apartment-for-rent/amsterdam/feabc0e0/marcusstraat,2022-10-19 20:33:16
1,2a651747,Apartment Diezestraat 32 II,"
5 weeks
","
From 01-11-2022
",Under option,"
Under option
",3250.0,1078,JS,Scheldebuurt,150,7,NA,Ter Haar Makelaars B.V.,https://www.pararius.com/apartment-for-rent/amsterdam/2a651747/diezestraat,2022-10-19 20:33:16
2,de9c91d6,Apartment Nassaukade 123 III,"
5 weeks
","
In consultation
",Under offer,"
Under offer
",3250.0,1052,EC,Frederik Hendrikbuurt,108,4,NA,KNAP Makelaardij,https://www.pararius.com/apartment-for-rent/amsterdam/de9c91d6/nassaukade,2022-10-19 20:33:16
3,867878ce,Apartment Kinderdijkstraat,"
5 weeks
","
In consultation
",Under option,"
Under option
",2400.0,1079,GP,Rijnbuurt,86,3,NA,Ramón Mossel Makelaardij,https://www.pararius.com/apartment-for-rent/amsterdam/867878ce/kinderdijkstraat,2022-10-19 20:33:16
