,id,header,status,price,postCode1,postCode2,neighbourhood,areaM2,rooms,interior,agent,link,scrapDate
6,53223067,Apartment Jan van Galenstraat 183 1,NA,1750.0,1056,BS,Van Galenbuurt,50,2,Upholstered,The Tenants Group,http://www.pararius.com/apartment-for-rent/amsterdam/53223067/jan-van-galenstraat,2022-09-25 21:19:39
7,d4cfb912,Apartment Keizersgracht 480,NA,1395.0,1017,EG,Grachtengordel-Zuid,37,2,NA,EasyMakelaars,http://www.pararius.com/apartment-for-rent/amsterdam/d4cfb912/keizersgracht,2022-09-25 21:19:39
8,d42753d4,Apartment Céramiquelaan,NA,4000.0,1031,KG,Noordelijke IJ-oevers West,110,4,Furnished,I-housing,http://www.pararius.com/apartment-for-rent/amsterdam/d42753d4/ceramiquelaan,2022-09-25 21:19:39
9,a85c0001,Apartment Nieuwezijds Voorburgwal 255,NA,2650.0,1012,RL,Burgwallen-Nieuwe Zijde,111,3,Upholstered,Broersma Makelaardij,http://www.pararius.com/apartment-for-rent/amsterdam/a85c0001/nieuwezijds-voorburgwal,2022-09-25 21:19:39
10,16639f43,Apartment Haparandaweg,NA,1750.0,1013,BD,Houthavens,50,2,Furnished,Expats. Amsterdam Rentals,http://www.pararius.com/apartment-for-rent/amsterdam/16639f43/haparandaweg,2022-09-25 21:19:39
11,66f3b603,Apartment Maria Austriastraat,NA,2350.0,1087,CN,IJburg West,130,4,Furnished,Expats. Amsterdam Rentals,http://www.pararius.com/apartment-for-rent/amsterdam/66f3b603/maria-austriastraat,2022-09-25 21:19:39
12,6906f538,Apartment Oostelijke Handelskade,NA,2850.0,1019,DN,Oostelijk Havengebied,100,3,Furnished,Huisportaal.nl,http://www.pararius.com/apartment-for-rent/amsterdam/6906f538/oostelijke-handelskade,2022-09-25 21:19:39
13,6e5df91f,Apartment Jacob van Lennepkade,Rented under option,1950.0,1054,ZG,Helmersbuurt,56,2,Furnished,The Perfect House,http://www.pararius.com/apartment-for-rent/amsterdam/6e5df91f/jacob-van-lennepkade,2022-09-25 21:19:39
14,8fee7d69,Apartment Van Tuyll van Serooskerkenweg 110 3,NA,4250.0,1076,JR,Stadionbuurt,125,5,Furnished,Koops Makelaardij Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/8fee7d69/van-tuyll-van-serooskerkenweg,2022-09-25 21:19:39
15,a9c716cd,Apartment Jasonstraat 51 2,NA,2800.0,1076,KZ,Stadionbuurt,120,4,Upholstered,Prinsen Residence International,http://www.pararius.com/apartment-for-rent/amsterdam/a9c716cd/jasonstraat,2022-09-25 21:19:39
16,2d5865cb,Apartment Cornelis Schuytstraat 25 2+3,NA,3950.0,1071,JD,Museumkwartier,150,4,Upholstered,Prinsen Residence International,http://www.pararius.com/apartment-for-rent/amsterdam/2d5865cb/cornelis-schuytstraat,2022-09-25 21:19:39
17,b07cbfec,Apartment Saxen-Weimarlaan,NA,2850.0,1075,BZ,Willemspark,90,3,Upholstered,Aham Vastgoed,http://www.pararius.com/apartment-for-rent/amsterdam/b07cbfec/saxen-weimarlaan,2022-09-25 21:19:39
18,a3d1df94,Apartment Nieuwe Leliestraat,NA,2750.0,1015,SP,Jordaan,73,3,Furnished,Inter Immo Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/a3d1df94/nieuwe-leliestraat,2022-09-25 21:19:39
19,439a2c12,Apartment Vincent van Goghstraat,NA,1900.0,1072,KX,Nieuwe Pijp,80,2,Furnished,HB Housing,http://www.pararius.com/apartment-for-rent/amsterdam/439a2c12/vincent-van-goghstraat,2022-09-25 21:19:39
20,1e10d827,Apartment Amstel 188 II,Rented under option,3000.0,1017,AG,Nieuwmarkt/Lastage,94,4,NA,Residential Real Estate,http://www.pararius.com/apartment-for-rent/amsterdam/1e10d827/amstel,2022-09-25 21:19:39
21,dd2f579b,Apartment De Lairessestraat,NA,2300.0,1071,PL,Museumkwartier,86,2,Furnished,Absolute Housing,http://www.pararius.com/apartment-for-rent/amsterdam/dd2f579b/de-lairessestraat,2022-09-25 21:19:39
22,f29ea9bb,House Johannes Verhulststraat 151 H,NA,11000.0,1075,GW,Willemspark,255,10,Upholstered,Hoen Vastgoedbeheer,http://www.pararius.com/house-for-rent/amsterdam/f29ea9bb/johannes-verhulststraat,2022-09-25 21:19:39
23,99860ea9,Apartment Brederodestraat 25 D,Rented under option,2200.0,1054,MR,Helmersbuurt,60,3,Furnished,Amsterdam Beautiful Property Rental,http://www.pararius.com/apartment-for-rent/amsterdam/99860ea9/brederodestraat,2022-09-25 21:19:39
24,d1a1933e,Apartment Stadionkade 70 2,NA,2850.0,1077,VS,Apollobuurt,110,3,Upholstered,Renthouse Vastgoed,http://www.pararius.com/apartment-for-rent/amsterdam/d1a1933e/stadionkade,2022-09-25 21:19:39
25,c9ea6bbb,Apartment S. F. van Ossstraat,NA,1550.0,1068,JN,Osdorp-Oost,55,2,Furnished,Expats. Amsterdam Rentals,http://www.pararius.com/apartment-for-rent/amsterdam/c9ea6bbb/s-f-van-ossstraat,2022-09-25 21:19:39
